15, 25
10, 40
10, 40
10, 40
5, 7
20, 40
10, 40
5, 7
10, 40
10, 40
5, 7
5, 7
9.04751, 33.7136
15, 25
15, 25
10, 40
10, 40
20, 40
8.23983, 12.8317
5, 7
10, 40
10, 40
20.132, 23.717
15, 25
10, 40
5, 7
10, 40
5, 7
15, 25
5, 7
15, 25
6.67043, 18.0248
7.63133, 11.7364
10, 40
20, 40
17.5377, 33.9698
10, 40
35, 20
15, 25
15, 25
15, 25
10, 40
15, 25
5.70959, 11.6833
5, 7
15, 25
5, 7
10, 40
35, 20
10, 40
15, 25
15, 25
10, 40
5, 7
8.91907, 32.8658
10, 40
20, 40
10, 40
10, 40
10, 40
10, 40
15, 25
15, 25
15, 25
5, 7
5, 7
20, 40
5, 7
10, 40
6.81941, 19.0081
10, 40
15, 25
11.6086, 35.1743
7.88518, 26.0422
15, 25
15, 25
5, 7
20, 40
17.3034, 31.9101
15, 25
15, 25
15, 25
15, 25
10, 40
15, 25
15, 25
10, 40
5, 7
5, 7
5, 7
10, 40
5, 7
10, 40
15, 25
15, 25
10, 40
15, 25
10, 40
5.05877, 7.38788
5, 7
